2021-10-06 11:30:33 startup archives unpack
2021-10-06 11:30:33 install dbus:amd64 <none> 1.12.16-2ubuntu2.1
2021-10-06 11:30:33 status half-installed dbus:amd64 1.12.16-2ubuntu2.1
2021-10-06 11:30:33 status triggers-pending systemd:amd64 245.4-4ubuntu3.13
2021-10-06 11:30:33 status unpacked dbus:amd64 1.12.16-2ubuntu2.1
2021-10-06 11:30:33 install libfribidi0:amd64 <none> 1.0.8-2
2021-10-06 11:30:33 status triggers-pending libc-bin:amd64 2.31-0ubuntu9.2
2021-10-06 11:30:33 status half-installed libfribidi0:amd64 1.0.8-2
2021-10-06 11:30:33 status unpacked libfribidi0:amd64 1.0.8-2
2021-10-06 11:30:33 install libglib2.0-0:amd64 <none> 2.64.6-1~ubuntu20.04.4
2021-10-06 11:30:33 status half-installed libglib2.0-0:amd64 2.64.6-1~ubuntu20.04.4
2021-10-06 11:30:34 status unpacked libglib2.0-0:amd64 2.64.6-1~ubuntu20.04.4
2021-10-06 11:30:34 install libglib2.0-data:all <none> 2.64.6-1~ubuntu20.04.4
2021-10-06 11:30:34 status half-installed libglib2.0-data:all 2.64.6-1~ubuntu20.04.4
2021-10-06 11:30:34 status unpacked libglib2.0-data:all 2.64.6-1~ubuntu20.04.4
2021-10-06 11:30:34 install libpam-systemd:amd64 <none> 245.4-4ubuntu3.13
2021-10-06 11:30:34 status half-installed libpam-systemd:amd64 245.4-4ubuntu3.13
2021-10-06 11:30:34 status unpacked libpam-systemd:amd64 245.4-4ubuntu3.13
2021-10-06 11:30:34 install libxml2:amd64 <none> 2.9.10+dfsg-5ubuntu0.20.04.1
2021-10-06 11:30:34 status half-installed libxml2:amd64 2.9.10+dfsg-5ubuntu0.20.04.1
2021-10-06 11:30:34 status unpacked libxml2:amd64 2.9.10+dfsg-5ubuntu0.20.04.1
2021-10-06 11:30:34 install shared-mime-info:amd64 <none> 1.15-1
2021-10-06 11:30:34 status half-installed shared-mime-info:amd64 1.15-1
2021-10-06 11:30:34 status unpacked shared-mime-info:amd64 1.15-1
2021-10-06 11:30:34 install ucf:all <none> 3.0038+nmu1
2021-10-06 11:30:34 status half-installed ucf:all 3.0038+nmu1
2021-10-06 11:30:35 status unpacked ucf:all 3.0038+nmu1
2021-10-06 11:30:35 install xdg-user-dirs:amd64 <none> 0.17-2ubuntu1
2021-10-06 11:30:35 status half-installed xdg-user-dirs:amd64 0.17-2ubuntu1
2021-10-06 11:30:35 status unpacked xdg-user-dirs:amd64 0.17-2ubuntu1
